recency_days,order_count,avg_order_value,days_since_signup,churned
103,2,201.66,520,1
93,6,96.73,580,1
15,4,103.33,316,0
107,7,74.54,39,1
72,7,123.64,571,0
21,5,151.13,785,0
103,6,30.63,303,0
122,2,125.75,629,1
75,5,82.83,785,0
88,11,89.91,410,0
117,4,103.62,358,1
100,7,116.85,508,0
104,6,82.22,44,0
152,8,91.9,545,1
131,3,33.14,220,1
150,6,37.63,197,1
53,5,140.85,550,0
2,8,159.84,650,0
88,3,151.99,166,0
158,4,101.52,183,1
38,2,185.15,417,1
130,4,172.75,238,1
21,5,157.85,301,0
161,7,90.78,172,1
58,5,126.7,640,0
22,1,91.95,849,0
89,7,101.68,98,0
49,3,126.58,276,0
59,4,192.23,290,1
170,1,109.73,817,1
15,6,41.86,108,0
175,12,245.8,687,0
51,5,83.36,652,0
108,6,43.38,799,0
55,3,103.81,634,1
64,7,130.49,554,0
131,8,160.84,801,1
51,2,106.78,650,1
135,5,73.02,359,1
21,4,104.11,218,0
73,1,101.92,124,1
167,6,131.76,646,1
18,4,93.68,37,0
132,4,277.2,96,1
89,5,162.85,525,1
60,4,69.62,220,0
14,7,65.72,395,0
9,6,64.45,797,0
90,3,122.46,550,0
53,4,99.4,146,0
130,3,57.74,296,1
84,4,26.72,640,1
92,1,76.98,514,1
111,10,126.81,538,0
172,5,45.57,327,1
8,7,77.98,193,0
175,3,164.2,405,1
35,0,15.95,682,0
81,4,73.35,297,1
164,9,70.39,578,1
50,9,39.24,103,0
104,9,42.46,537,0
132,3,138.74,102,1
2,5,183.9,337,0
134,9,61.87,228,0
54,5,148.88,159,0
106,7,97.35,787,0
4,8,86.91,853,0
54,4,187.36,601,1
146,6,60.28,820,1
44,4,68.17,644,0
162,4,48.7,837,1
14,4,49.11,861,0
95,5,122.86,516,1
48,6,185.14,882,0
15,4,109.89,180,0
40,2,15.86,698,0
82,4,223.49,235,1
111,7,154.42,208,0
53,6,168.36,226,0
24,7,110.73,764,0
154,4,61.75,118,1
124,10,93.74,828,0
41,6,172.28,463,0
157,9,79.61,817,1
15,4,148.53,777,0
45,8,55.72,212,0
65,8,145.86,238,0
89,7,103.26,522,1
71,4,81.54,159,1
9,7,102.27,694,0
88,4,137.34,42,1
129,5,165.21,663,1
136,7,67.31,761,1
63,2,77.84,135,1
139,9,131.78,404,0
81,6,268.96,611,1
136,6,248.67,736,1
163,2,172.62,727,1
163,0,196.42,128,1
33,1,59.62,623,1
123,7,55.79,616,0
5,10,51.65,881,0
41,5,59.04,221,0
28,3,129.5,354,0
135,4,100.64,755,1
72,8,139.59,856,0
12,8,185.3,496,0
162,4,109.99,396,1
33,3,99.98,347,0
48,1,226.67,173,1
151,1,78.81,413,1
62,4,44.85,245,1
37,3,126.64,390,0
99,7,72.47,353,0
172,2,107.56,44,1
104,10,59.26,246,0
35,5,129.02,521,0
101,5,98.09,576,1
175,5,95.87,212,1
131,6,140.64,299,1
1,6,188.15,496,0
5,5,217.08,899,0
142,1,139.57,641,1
103,4,101.68,548,1
27,8,102.35,571,0
137,6,156.55,496,1
15,4,57.81,334,0
90,5,65.26,173,1
42,3,33.41,140,0
124,4,162.54,261,1
179,4,199.73,720,1
63,3,140.16,613,1
96,6,37.18,751,1
52,6,128.05,761,0
96,7,80.42,621,0
132,4,116.08,529,1
151,0,220.1,624,1
143,4,63.4,583,1
171,6,140.68,302,1
29,8,92.59,732,0
36,6,103.11,202,0
13,4,39.97,36,0
160,2,81.65,184,1
71,3,51.09,551,1
86,4,144.51,575,1
28,5,104.91,577,0
66,6,130.95,547,0
170,10,63.97,244,1
45,2,76.05,163,0
62,5,155.52,314,1
134,5,86.31,155,1
28,4,74.5,468,0
28,7,145.34,878,0
108,11,64.76,715,0
44,6,77.11,181,0
84,5,98.8,360,0
30,1,124.46,567,1
75,4,88.99,412,1
128,4,42.39,144,1
92,8,134.04,511,1
129,3,174.29,313,1
121,8,73.36,104,0
27,7,85.54,195,0
121,3,54.56,218,1
116,5,100.99,107,1
3,3,60.56,631,0
103,6,196.37,717,1
155,4,83.28,50,1
137,6,77.76,595,1
62,7,82.02,213,0
165,3,64.3,251,1
51,3,107.99,856,1
172,5,81.4,357,1
152,1,147.61,208,1
59,6,107.75,817,0
118,4,128.08,141,1
160,3,134.96,765,1
96,5,174.0,755,1
113,7,75.65,88,0
62,7,66.82,356,1
52,5,73.0,650,0
12,9,97.83,698,0
39,7,113.06,220,0
