CustomerID,recency_days,avg_order_value,days_since_signup,avg_quantity_per_order,high_frequency
12346,326,77183.6,326,74215.0,0
12347,2,615.71,367,351.14,1
12348,75,449.31,358,585.25,0
12349,19,1757.55,19,631.0,0
12350,310,334.4,310,197.0,0
12352,36,313.26,297,67.0,1
12353,204,89.0,204,20.0,0
12354,232,1079.4,232,530.0,0
12355,214,459.4,214,240.0,0
12356,23,937.14,326,530.33,0
12357,33,6207.67,33,2708.0,0
12358,2,584.03,151,124.0,0
12359,58,1593.14,332,405.5,0
12360,52,887.35,201,388.33,0
12361,287,189.9,287,91.0,0
12362,3,522.62,296,222.9,1
12363,110,276.0,242,204.0,0
12364,8,328.28,112,376.5,0
12365,291,320.69,291,87.0,0
12367,4,168.9,4,173.0,0
12370,51,886.42,360,588.25,0
12371,45,943.98,60,295.5,0
12372,72,432.68,297,264.67,0
12373,311,364.6,311,197.0,0
12374,25,742.93,25,342.0,0
12375,11,228.75,98,89.0,0
12377,315,814.06,355,472.0,0
12378,130,4008.62,130,2529.0,0
12379,82,426.12,170,203.5,0
12380,22,681.2,186,281.75,0
12381,5,369.06,120,161.6,1
12383,185,370.11,352,306.4,1
12384,29,292.64,122,63.0,0
12386,338,200.95,367,177.0,0
12388,16,463.44,327,243.67,1
12390,80,549.84,80,353.0,0
12391,22,460.89,22,300.0,0
12393,72,395.65,333,204.0,0
12394,64,636.24,217,409.5,0
12395,19,251.55,371,176.5,1
12397,36,1204.95,135,631.5,0
12398,46,1635.66,46,1394.0,0
12399,119,277.16,262,294.5,0
12401,303,84.3,303,11.0,0
12402,323,225.6,323,94.0,0
12403,50,427.7,50,96.0,0
12405,149,1710.39,149,857.0,0
12406,22,1707.65,184,909.0,0
12407,50,341.62,264,283.2,1
12408,33,577.71,260,281.8,1
12409,79,3690.89,183,1850.33,0
12410,309,346.66,309,105.5,0
12412,75,408.96,169,276.33,0
12413,67,252.7,337,95.33,0
12414,217,187.47,310,100.0,0
12415,24,5948.31,338,3684.48,1
12417,3,405.46,358,172.44,1
12418,113,668.58,113,407.0,0
12420,64,600.39,64,345.0,0
12421,16,201.76,319,121.0,0
12422,96,267.85,325,123.33,0
12423,1,232.41,354,167.38,1
12424,163,880.48,163,370.0,0
12425,78,777.2,78,496.0,0
12426,195,582.73,195,258.0,0
12427,22,275.27,372,177.67,0
12428,26,884.05,284,392.89,1
12429,9,937.6,366,389.25,0
12430,43,256.4,43,117.0,0
12431,36,432.5,374,193.73,1
12432,43,1011.86,172,360.2,1
12433,1,1910.84,373,1581.57,1
12434,85,403.07,260,197.0,0
12435,80,3914.94,268,1027.5,0
12436,100,509.01,100,211.0,0
12437,2,275.08,331,162.33,1
12438,14,1453.42,140,590.0,0
12441,367,173.55,367,121.0,0
12442,3,172.06,3,182.0,0
12444,21,1001.09,171,230.6,1
12445,22,133.4,22,62.0,0
12446,58,1002.31,58,351.0,0
12447,243,476.49,243,190.0,0
12448,44,449.45,44,243.0,0
12449,22,1016.82,187,388.25,0
12450,156,98.94,173,64.0,0
12451,11,1807.1,325,1315.0,1
12452,17,215.29,17,92.5,0
12453,134,707.09,134,473.0,0
12454,56,3528.34,56,1006.0,0
12455,73,411.14,297,348.17,1
12456,44,1060.35,255,544.33,0
12457,66,337.6,239,120.43,1
12458,71,473.7,285,253.0,0
12461,94,413.44,155,143.5,0
12462,19,594.79,303,268.0,0
12463,53,336.2,242,194.0,0
12464,10,151.51,309,14.0,1
12465,17,371.1,169,239.5,0
12468,188,364.77,316,183.0,0
12471,2,660.8,365,273.73,1
12472,32,938.87,369,592.57,1
12473,29,787.71,192,487.8,1
12474,17,409.77,330,269.28,1
12475,54,723.38,54,535.0,0
12476,16,619.67,361,218.91,1
12477,23,2203.29,302,608.83,1
12478,4,680.99,4,236.0,0
12479,11,527.2,11,385.0,0
12480,28,820.41,336,426.75,0
12481,23,559.63,366,330.4,1
12483,17,310.62,339,138.75,1
12484,33,756.95,336,365.17,1
12488,10,432.89,76,176.33,0
12489,336,334.93,336,105.0,0
12490,5,541.79,330,306.4,1
12491,39,460.4,39,260.0,0
12492,63,131.61,105,96.0,0
12493,166,216.87,197,103.5,0
12494,16,178.01,366,101.0,1
12497,82,1043.1,82,1236.0,0
12498,21,134.57,58,53.0,0
12500,23,387.07,334,243.45,1
12501,337,2169.39,337,1783.0,0
12502,96,744.77,310,164.0,1
12504,18,241.02,30,45.0,0
12506,233,73.5,233,23.0,0
12507,134,434.94,299,298.0,0
12508,26,199.14,29,136.0,0
12509,284,176.5,284,55.0,0
12510,143,491.28,325,176.5,0
12512,66,69.02,66,49.5,0
12513,113,612.29,113,462.0,0
12514,267,1017.68,267,440.0,0
12515,353,383.7,353,131.0,0
12516,78,656.03,181,437.5,0
12517,28,500.57,190,274.2,1
12518,1,411.38,110,263.6,1
12519,64,340.84,64,183.0,0
12520,79,526.85,274,287.8,1
12521,143,599.68,143,309.0,0
12522,39,96.36,51,97.0,0
12523,19,162.71,332,78.64,1
12524,9,560.72,334,462.38,1
12526,1,438.89,94,210.67,0
12527,82,116.24,326,78.0,0
12528,9,322.25,313,126.0,1
12530,60,415.57,337,228.25,0
12531,15,125.22,15,45.0,0
12532,30,349.83,30,153.0,0
12534,131,1089.18,131,651.0,0
12535,92,358.18,187,109.5,0
12536,43,4200.61,59,934.33,0
12538,29,363.95,29,191.0,0
12539,22,1392.09,334,516.75,0
12540,20,788.25,362,393.24,1
12541,30,327.06,281,226.67,0
12544,36,372.7,36,136.0,0
12545,75,500.2,260,261.5,0
12546,47,580.75,78,316.5,0
12547,198,103.9,281,67.0,0
12548,166,95.2,166,49.0,0
12550,79,964.83,79,569.0,0
12551,358,168.0,358,100.0,0
12552,39,218.91,40,44.0,0
12553,8,369.23,330,196.5,1
12556,50,301.86,151,179.0,0
